Measure Name,Measure Abbreviation (if provided),Your Name,Timestamp,Reference (APA Style),Measure Details (description),"Year (enter a number such as ""2023""; year refers to year of publication of the paper)",Link to Paper,Link to Measure/Items,Items (copy paste the actual item set),Length (duration in seconds),Length (number of items),Population (2-letter country ISO code),Language (2-letter language ISO code),Validated (any type of validation of the measure),"Objective (i.e., performance test with clear correct and wrong responses, or the mapping of actual behaviour, etc., not self-report)","Specific (i.e., tailored, not a broad measure of resilience but on a specific technique or topic, for example the topic of the intervention in the study)",Online (is the measure administered online),"Long-Term Malleability (is there evidence that the score can change when measured weeks or months later)

Note: if the study did not look at this, please put NA","Short-Term Malleability (is there evidence that the score can change immediately after an intervention, or a couple of days after the initial measure)

Note: if the study did not look at this, please put NA",Skill (see high-level overview of resilience),"Attitudes, Norms, & Beliefs (see high-level overview of resilience)",Knowledge (see high-level overview of resilience),Behavioral Correlate (see high-level overview of resilience),Identity Risk Factor (see high-level overview of resilience),"Stimuli Type (see high-level overview of resilience)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Origin (see high-level overview of resilience; this refers to how the stimuli was created or collected)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Source (see high-level overview of resilience; this refers to whether the stimuli itself includes any source information, for example if the stimuli is a social media post whether this has been posted or written by an individual and this source information is included in the stimuli)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Characteristics (see high-level overview of resilience)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Platform (see high-level overview of resilience; this refers to the format of the stimuli and what type of platform the stimuli resemble)

Note: this may not be relevant for self-report scales, in that case, put NA",Response Option (see high-level overview of resilience),Component Type (see high-level overview of resilience),Behavior Type (see high-level overview of resilience),Risk Type (see high-level overview of resilience),Any comments?,Link to Original Measure Paper (if the measure used in the paper is based on a measure from a different paper),If this variable is a Key Correlate variable (see intervention scoring sheet); indicate which one,Does paper include a scale/measure?,Language (2-letter language ISO code)
News discernment task,NA,April Hwang,02/06/2023 19:52:57,"Roozenbeek, J., Maertens, R., McClanahan, W., & van der Linden, S. (2021). Disentangling item and testing effects in inoculation research on online misinformation: Solomon revisited. Educational and Psychological Measurement, 81(2), 340–362.","Measures item effect of Bad News. Two sets of Twitter posts were designed (Set A and Set B). Participants were asked to rate the reliability of each Twitter post on a 7-point Likert-type scale. Participants were randomly presented with either Set A or Set B in the pretest. In the posttest after Bad News intervention, participants who had seen Set A in the pretest were shown Set B in the posttest, and vice versa.",2021,https://doi.org/10.1177/0013164420940378,NA,"Each set of items contained a total of eight Twitter posts: two “real” (control) tweets (that do not contain any misinformation technique), and six “fake” tweets that contain misinformation (one for each technique; impersonation, using emotional language, increasing group polarization, conspiracist ideation, discrediting opponents, and trolling). ",NA,8; 8,NA,NA,Yes,Yes,No,Yes,NA,Yes,Yes,Yes,No,Yes,Yes,Text,Lab,Organisations,News_Headline,Twitter_Mastodon,Scale,MetaCognitive,Other,Identity,Measure 1 of 2,NA,Cognitive Reflection,Yes,
News discernment task,NA,April Hwang,02/06/2023 20:03:50,"Roozenbeek, J., Maertens, R., McClanahan, W., & van der Linden, S. (2021). Disentangling item and testing effects in inoculation research on online misinformation: Solomon revisited. Educational and Psychological Measurement, 81(2), 340–362.","Testing effect investigated using three different in-game surveys. (1) standard experimental group answered demographic questions, then did pretest, Bad News game, posttest (2) control group in which participants did a pretest, answered a series of demographic questions, posttest, Bad News game, and (3) a posttest-only group, which first answered demographic questions (without a pretest), then played the Bad News game, and then did a posttest. Participants were asked to rate the reliability of each Twitter post on a 7-point Likert-type scale during each pre/post test which contained 8 posts.",2021,https://doi.org/10.1177/0013164420940378,NA,"Each set of items contained a total of eight Twitter posts: two “real” (control) tweets (that do not contain any misinformation technique), and six “fake” tweets that contain misinformation (one for each technique; impersonation, using emotional language, increasing group polarization, conspiracist ideation, discrediting opponents, and trolling). ",NA,8,NA,NA,Yes,Yes,No,Yes,NA,Yes,Yes,Yes,No,Yes,Yes,Text,Lab,Organisations,News_Headline,Twitter_Mastodon,Scale,MetaCognitive,Other,Identity,Measure 2 of 2,NA,Cognitive Reflection,Yes,
News Discernment Task,NA,Christiane,05/06/2023 16:10:59,"Calvillo, D. P., Garcia, R. J. B., Bertrand, K., & Mayers, T. A. (2021). Personality factors and self-reported political news consumption predict susceptibility to political fake news.","24 news headlines were shown to each participant, equally false/true, equally pro conservative/liberal, asked to indicate perceived accuracy",2021,https://doi.org/10.1016/j.paid.2021.110666,https://osf.io/czg7q?view_only=52a221ab399a416da538e93b9bfb0204,NA,NA,24,US,en,NA,Yes,Yes,Yes,NA,NA,Yes,No,Yes,No,No,Mixed,Real,Organisations,News_Headline,Other,Scale,DiscVeracity,NA,NA,,NA,Knowledge Test,Yes,
News discernment task,NA,April Hwang,11/07/2023 02:28:46,"Roozenbeek, J., & van der Linden, S. (2019). The fake news game: Actively inoculating against the risk of misinformation. Journal of Risk Research, 22(5), 570-580. https://doi.org/10.1080/13669877.2018.1443491","The reading task involved reading one of two (randomly assigned) fake news articles about an issue that related closely to the topic of the fake news game. The two articles were the same (insofar as this is possible) in their overarching topic, setup, structure, length, language use, and in terms of the techniques they used to mislead the audience. Both articles related to polarized and contested risk issues about immigration and the refugee crisis in the Netherlands, and assigned blame to the same organization (the European Union). Additionally, a structured and fixed number of common and popular ‘fake news’ tactics were implemented. Participants were asked to read the fake news article and fill out a second questionnaire to measure their judgments about the article",2019,https://doi.org/10.1080/13669877.2018.1443491,https://doi.org/10.1080/13669877.2018.1443491,"We assessed participants’ familiarity with the topic on a 7-point Likert scale by asking the extent to which they were familiar with the topic in general (1 = not familiar at all, 7 = very familiar). We also asked participants how persuasive they found the article (1 = not persuasive at all, 7 = very persuasive), how much they personally agreed with the article (1 = completely disagree, 7 = completely agree, and how reliable they judged the article to be (1 = not reliable at all, 7 = very reliable). In addition, we included several open-ended items to encourage participants to actively generate answers on their own (i.e. what is the writer trying to convince you of? Which arguments did you find persuasive or not persuasive? Which arguments did you find reliable?). Finally, we assessed participants’ age and their political ideology on a 7-point scale (1 = extreme left-wing, 7 = extreme right-wing)",600,4; 3,NL,NL,Yes,No,Yes,NA,NA,Yes,Yes,No,No,No,No,Text,Lab,NoSource,Post_Article,NoPlatform,Scale,DiscManipulativeness,NA,,Item length may potentially be longer as the current length was calculated based on counting the questions that were embedded from the article rather than the item list (not available as supplementary document). Stimuli type is mixed - text and image.,https://doi.org/10.1080/13669877.2018.1443491,NA,Yes,
News discernment task,NA,April Hwang,11/07/2023 04:42:15,"Traberg, C. S., & van der Linden, S. (2022). Birds of a feather are persuaded together: Perceived source credibility mediates the effect of political bias on misinformation susceptibility. Personality and Individual Differences, 185, 111269. https://doi.org/10.1016/j.paid.2021.111269","Simulated a social media feed in which participants were presented with fictional news headlines in the form of ‘tweets’ from either conservatively (e.g. Fox News) or liberally slanted (e.g. CNN) news sources, where items contained either factual information or misinformation. Participants were asked to rate the accuracy of these, as well as their intention to share these headlines online",2022,https://doi.org/10.1016/j.paid.2021.111269,https://doi.org/10.1016/j.paid.2021.111269,"For each headline, participants were asked to report how accurate they perceived each headline to be",NA,12,US,EN,Yes,Yes,Yes,Yes,NA,NA,Yes,No,No,No,No,Text,Lab,Organisations,News_Headline,Twitter_Mastodon,Scale,DiscVeracity,NA,,,https://doi.org/10.1016/j.paid.2021.111269,Checking Sources,Yes,
News discernment task,NA,April Hwang,11/07/2023 04:45:51,"Traberg, C. S., & van der Linden, S. (2022). Birds of a feather are persuaded together: Perceived source credibility mediates the effect of political bias on misinformation susceptibility. Personality and Individual Differences, 185, 111269. https://doi.org/10.1016/j.paid.2021.111269","simulated a social media feed in which participants were presented with fictional news headlines in the form of ‘tweets’ from either conservatively (e.g. Fox News) or liberally slanted (e.g. CNN) news sources, where items contained either factual information or misinformation. Participants were asked to rate the accuracy of these, as well as their intention to share these headlines online.",2022,https://doi.org/10.1016/j.paid.2021.111269,https://doi.org/10.1016/j.paid.2021.111269,"Single-item intent to share measure was presented alongside the Twitter posts, where participants reported how likely they would be to share the headline with their network if it came up on their news feed",NA,12,US,EN,Yes,No,Yes,Yes,NA,NA,No,No,No,Yes,No,Text,Lab,Organisations,News_Headline,Twitter_Mastodon,Scale,NA,Sharing,,,https://doi.org/10.1016/j.paid.2021.111269,Checking Sources,Yes,
News discernment task,NA,April Hwang,13/07/2023 16:23:12,"Sirlin, N., Epstein, Z., Arechar, A. A., & Rand, D. G. (2021). Digital literacy is associated with more discerning accuracy judgments but not sharing intentions. Harvard Kennedy School Misinformation Review, 2(6) https://doi.org/10.37016/mr-2020-83","Participants were shown a series of news items, some of which were true and others which were false. Participants saw 25 headlines (just text) pertaining to COVID-19, 15 false and 10 true. Each subject was randomly assigned to one of two conditions for all headlines: accuracy and sharing",2021,https://doi.org/10.37016/mr-2020-83,https://osf.io/9fcnj?view_only=762302214a8248789bc6aeaa1c209029,"Accuracy condition, “To the best of your knowledge, is the claim in the above headline accurate?” Sharing condition, “Would you consider sharing this story online (for example, through Facebook or Twitter)?” ",NA,1,US,EN,No,NA,Yes,Yes,NA,NA,Yes,No,No,Yes,No,Text,Other,NoSource,News_Headline,NoPlatform,Binary,DiscVeracity,Sharing,,"Objective - yes for accuracy condition, no for sharing condition; stimuli origin not disclosed ",https://doi.org/10.37016/mr-2020-83,NA,Yes,
News discernment task,NA,April Hwang,13/07/2023 16:29:22,"Sirlin, N., Epstein, Z., Arechar, A. A., & Rand, D. G. (2021). Digital literacy is associated with more discerning accuracy judgments but not sharing intentions. Harvard Kennedy School Misinformation Review, 2(6) https://doi.org/10.37016/mr-2020-83","There were 60 online news cards about politics (including headline, image, and source), half were true and half false. Subjects were shown a random subset of 24 of these headlines. Each subject was randomly assigned to one of two conditions for all headlines: accuracy and sharing",2021,https://doi.org/10.37016/mr-2020-83,https://osf.io/cbs9d?view_only=762302214a8248789bc6aeaa1c209029,"Accuracy condition, “To the best of your knowledge, is the claim in the above headline accurate?” Sharing condition, “Would you consider sharing this story online (for example, through Facebook or Twitter)?” ",NA,1,US,EN,No,NA,Yes,Yes,NA,NA,Yes,No,No,Yes,No,Mixed,NA,NoSource,News_Headline,NoPlatform,Binary,DiscVeracity,Sharing,,"Objective - yes for accuracy condition, no for sharing condition; stimuli origin not disclosed. ",https://doi.org/10.37016/mr-2020-83,NA,Yes,
News Evaluation Task,NET,Rakoen Maertens,11/05/2023 14:19:36,"Pehlivanoglu, D., Lighthall, N. R., Lin, T., Chi, K. J., Polk, R., Perez, E., Cahill, B. S., & Ebner, N. C. (2022). Aging in an “infodemic”: The role of analytical reasoning, affect, and news consumption frequency on news veracity detection. Journal of Experimental Psychology: Applied, 28(3), 468–485.","During this task, participants werepresented with 12 news articles (6 real, 6 fake). Each article waspresented on the screen for at least 60 s to ensure sufficient readingtime, as determined by an internal pilot study. Beyond the 60-swindow, the task was self-paced. After reading each article, parti-cipants were prompted with the following questions (in this order):accuracy (Is this news article real or fake?; response options:realvs.fake), confidence (How confident are you in your decisionregarding the authenticity of this news article?); response options:1(not at all confident)to10(completely confident), sharing (Wouldyou share this news article on social media?; response options:yesvs. no), perceived credibility (How credible do youfind this newsarticle?; response options: 1 (not at all credible)to10(completelycredible), and familiarity (Have you seen this article before?;response options:yesvs.no).3Participants were not informed aboutthe total number of articles presented to them to avoid responsebiases (e.g., 50/50 real vs. fake responses). News veracity detectionaccuracy was operationalized as categorizing real news as“real”andfake news as“fake”(see Data Analysis for details).",2022,https://doi.org/10.1037/xap0000426,https://osf.io/z24nb/,NA,720,12,US,en,No,Yes,No,Yes,NA,NA,Yes,No,No,No,No,Mixed,Real,Organisations,Post_Article,NoPlatform,Scale,DiscVeracity,NA,NA,"Measure vs Construct Abbreviation (e.g., News Veracity Detection)",,,,
News evaluation task,"NET, CRT",April Hwang,17/05/2023 20:36:08,"Pehlivanoglu, D., Lighthall, N. R., Lin, T., Chi, K. J., Polk, R., Perez, E., Cahill, B. S., & Ebner, N. C. (2022). Aging in an ""infodemic"": The role of analytical reasoning, affect, and news consumption frequency on news veracity detection. Journal of Experimental Psychology. Applied, 28(3), 468-485. https://doi.org/10.1037/xap0000426","Presented 12 news articles (6 real, 6 fake). Each article was presented on the screen for at least 60 s to ensure sufficient reading time.  After reading each article, participants were prompted with the following questions (in this order): accuracy (Is this news article real or fake?; response options: real vs. fake), confidence (How confident are you in your decision regarding the authenticity of this news article?); response options: 1 (not at all confident) to 10 (completely confident), sharing (Would you share this news article on social media?; response options: yes vs. no), perceived credibility (How credible do you find this news article?; response options: 1 (not at all credible) to 10 (completely credible), and familiarity (Have you seen this article before?; response options: yes vs. no).",2022,https://doi.org/10.1037/xap0000426,https://doi.org/10.1037/xap0000426,"Accuracy, confidence, sharing, perceived credibility ",60+,"4 questions, 12 news articles",US,EN,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Text,Real,Organisations,Other,NA,Other,GeneralReasoning,Reaction,NA,,,,,
News event recall task,NA,April Hwang,12/07/2023 01:10:30,"Murphy, G., Loftus, E. F., Grady, R. H., Levine, L. J., & Greene, C. M. (2019). False memories for fake news during Ireland’s abortion referendum. Psychological Science, 30(10), 1449-1459. https://doi.org/10.1177/0956797619864887","Participants viewed six news stories concerning campaign events—two fabricated and four authentic. The news events presented in this study consisted of an unaltered photograph accompanied by a short summary. After reading the story, participants were asked whether they remembered the event",2019,https://doi.org/10.1177/0956797619864887,https://doi.org/10.1177/0956797619864887,"Participants were asked whether they remembered the event, to which they could respond, “I remember seeing/hearing this,” “I don’t remember seeing/hearing this but I remember it happening,” “I don’t remember this but I believe it happened,” “I remember this differently,” or “I don’t remember this.” Participants were also asked whether they remembered where they had heard about the event, and they could select from a range of options (e.g., television, social media, a friend, other source) or could indicate that they did not remember where they had heard it. Finally, participants were asked, “How did you feel at the time?” and were provided with a text box to write an open-ended response",NA,3,IE,EN,No,No,Yes,Yes,NA,NA,Yes,No,No,No,No,Mixed,Mixed,NoSource,Other,NoPlatform,Other,MetaCognitive,NA,,"This task measures memory recall which may be included as cognitive reflection (as reported here). If not, it may be included under attitude, norms and belief  - belief, or knowledge - other knowledge. If not, please disregard as it does not fit within Components of Misinformation Resilience category

Stimuli Characteristics - photograph accompanied by a short summary",https://doi.org/10.1177/0956797619864887,Cognitive Reflection,Yes,
News headline deception detection task,NA,April Hwang,31/05/2023 23:40:16,"Moore, R. C., & Hancock, J. T. (2022). A digital media literacy intervention for older adults improves resilience to fake news. Scientific Reports, 12(1), 6008-6008. https://doi.org/10.1038/s41598-022-08437-0","Participants were asked to fill out two surveys, each asking to rate veracity of 6 headlines. Each survey contained 3 true and 3 false news headlines. The news headlines were equally numbered in republican congenial, democrat congenial and neither republican nor democrat congenial.",2022,https://doi.org/10.1038/s41598-022-08437-0,NA,rate the veracity of 6 headlines from 1 (definitely false) to 7 (definitely true).,NA,NA,NA,NA,No,Yes,No,Yes,NA,Yes,Yes,No,No,No,No,Text,NA,NoSource,News_Headline,NoPlatform,Scale,MediaLiteracy,NA,Other,"Population of interest: mature adults (mean age 67.2 for intervention condition, 63.8 for control)",NA,Cognitive Reflection,Yes,
News Headline Discernment and Dissemination,NA,Christiane,18/07/2023 22:32:00,"Pennycook, G., & Rand, D. G. (2019). Lazy, not biased: Susceptibility to partisan fake news is better explained by lack of reasoning than by motivated reasoning. Cognition, 188, 39-50","30 headlines (15 true, 15 fake news; 5 democrat-consistent, 5 republican-consistant, 5 neutral) - participants asked 1) if have seen before, 2) perceived accuracy, and 3) likelihood of sharing",2019,https://doi.org/10.1016/j.cognition.2018.06.011,(From page 11 to end) https://ars.els-cdn.com/content/image/1-s2.0-S001002771830163X-mmc1.pdf,"Headlines: NA (images); questions asked for each: “Have you seen or heard about this story before?” (response options: no/unsure/yes), 2) “To the best of your knowledge, how accurate is the claim in the above headline?” (response options: not at all accurate/not very accurate/somewhat accurate/very accurate), and 3) “Would you consider sharing this story online (for example, through Facebook or Twitter)?” (response options: I would never share something political online (data removed from analysis), no, maybe, yes)",NA,30,NA,en,Yes,No,No,Yes,NA,NA,Yes,No,Yes,Yes,No,Mixed,Real,Organisations,News_Headline,Other,Scale,DiscVeracity,Sharing,,,NA,Myside Bias,Yes,
News headline discernment task,NA,April Hwang,30/05/2023 22:20:27,"Dias, N., Pennycook, G., & Rand, D. G. (2020). Emphasizing publishers does not effectively reduce susceptibility to misinformation on social media. Harvard Kennedy School Misinformation Review, 1(1)https://doi.org/10.37016/mr-2020-001","American participants were shown series of actual headlines from social media, presented in Facebook format. For some, publisher information was more visible (by adding a logo banner), while for others, publisher information was less visible (by removing all publisher information). Participants were asked to judge the accuracy of, and whether they would share, each headline on social media.",2020,https://doi.org/10.37016/mr-2020-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
